[/api/payment-intent] | [2021-09-16 15:09:98PM +05:30] | [This is error]
[/api/payment-intent] | [2021-09-16 15:09:52PM +05:30] | [This is error]
[/api/payment-intent] | [2021-09-16 15:09:78PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-10-28 17:10:64PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-10-28 17:10:14PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-10-28 17:10:90PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-10-28 17:10:05PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-10-28 18:10:29PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-10-28 18:10:80PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-10-28 18:10:49PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-10-28 18:10:00PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-11-02 18:11:41PM +05:30] | [Error: An error occurred with our connection to Stripe.]
[/api/payment-intent] | [2021-11-02 18:11:60PM +05:30] | [Error: This payment requires additional user action before it can be completed successfully. Payment can be completed using the PaymentIntent associated with the invoice. For more details see: https://stripe.com/docs/billing/subscriptions/overview#requires-action]
[/api/payment-intent] | [2021-11-02 19:11:35PM +05:30] | [Error: Invoice is already paid]
[/api/payment-intent] | [2021-11-02 20:11:98PM +05:30] | [Error: Invoice is already paid]
[/api/payment-intent] | [2021-11-02 21:11:04PM +05:30] | [Error: Invoice is already paid]
